gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.01,0.00724,0.00828,0.661,1.473,1.512
ndhB_cd,0,0.0831,0.0932,0.011,7.105,7.35
ndhA_cd,0.05,0.0455,0.0437,2.586,7.445,7.767
psbK_cd,0.184,0.201,0.188,0.536,1.517,1.451
rps16_cd,0.048,0.0555,0.0511,0.932,2.702,3.21
ndhG_cd,0.032,0.0445,0.04,1.431,3.954,3.447
rps18_cd,0.072,0.0704,0.0701,2.429,6.809,5.992
ndhI_cd,0.021,0.0184,0.0186,1.258,3.058,2.767
atpH_cd,0.021,0.0214,0.0211,0.662,1.756,2.082
psbZ_cd,0.001,0.00235,0.00104,0.53,0.874,1.028
ndhJ_cd,0.004,0.00117,0.00142,1.135,2.8,3.705
rpoC1_cd,0.116,0.115,0.113,10.533,22.454,27.395
psbH_cd,0.088,0.103,0.0962,1.59,4.525,2.928
petN_cd,0.0003,0.000459,0.000211,0.636,1.457,1.767
rps4_cd,0.023,0.0224,0.0236,3.463,10.303,6.391
rpl36_cd,8e-05,1.61e-05,0.000262,0.714,1.755,1.435
rbcL_cd,0.003,0.00417,0.00286,5.243,17.78,16.95
psbE_cd,0.001,0.000597,0.00158,1.437,3.561,2.491
psbC_cd,0.011,0.0119,0.0147,7.434,13.558,12.104
psbJ_cd,8e-08,0.000279,0.000103,0.747,2.464,2.027
rpl2_cd,0.186,0.184,0.186,2.141,8.396,11.814
matK_cd,0.022,0.0142,0.0123,7.011,23.313,18.076
clpP_cd,0.003,0.00263,0.00215,3.081,9.914,8.393
rpl22_cd,0.002,0.00358,0.00129,2.56,4.658,7.914
rps19_cd,0.033,0.0291,0.0274,2.684,8.175,7.043
rps7_cd,0.02,0.0236,0.0197,2.024,6.103,6.626
psaC_cd,0.001,0.000916,0.00163,1.346,3.656,3.272
psbL_cd,0.0005,0.000456,0.000425,0.752,1.447,1.511
ndhF_cd,0.029,0.0309,0.0302,14.746,35.292,23.145
psaA_cd,0.239,0.232,0.222,8.965,31.25,29.335
rps11_cd,0.027,0.023,0.0218,2.907,6.225,7.345
rpoA_cd,0.011,0.0117,0.0139,4.802,17.029,16.374
ndhC_cd,0.035,0.0379,0.0392,1.535,3.96,3.136
psbI_cd,0.001,0.000124,0.000354,0.479,1.398,1.531
rps2_cd,0,0.0561,0.0522,0.005,11.516,12.294
ycf1_cd,0.22,0.23,0.202,52.654,133.148,120.921
psbM_cd,0.0005,0.000655,0.000347,0.737,2.168,2.161
petD_cd,0.021,0.023,0.0234,2.295,6.53,5.92
rpl16_cd,0.035,0.0389,0.0348,1.955,5.466,5.093
atpA_cd,0.097,0.0856,0.0871,6.137,19.349,19.382
rps3_cd,0.24,0.225,0.225,3.902,6.972,7.513
rpl20_cd,0.021,0.0206,0.0215,2.025,6.264,7.496
rpl23_cd,0.007,0.00674,0.00933,1.67,8.98,8.445
rpoC2_cd,0,0.28,0.258,0.011,73.625,51.612
ycf4_cd,0.025,0.0254,0.0321,2.821,7.036,6.59
ycf3_cd,0,0.155,0.149,0.005,4.537,6.611
rpl14_cd,0.028,0.0309,0.0271,1.557,4.561,4.286
petG_cd,0.0002,5.33e-07,5.15e-07,0.775,1.794,1.989
cemA_cd,0.161,0.162,0.162,3.006,7.977,8.616
psbB_cd,0.224,0.216,0.222,5.557,12.847,11.594
rps8_cd,0.01,0.0091,0.0132,1.629,4.332,5.719
psaJ_cd,0.0003,0.00386,0.00347,0.901,3.453,3.444
rps12_cd,0.01,0.0143,0.0124,1.576,3.895,4.082
atpE_cd,0.065,0.0583,0.0602,1.888,5.753,5.318
psbT_cd,3e-05,7.65e-05,0.000339,0.745,2.846,3.149
psbA_cd,0.053,0.0507,0.0471,4.048,11.015,9.057
petB_cd,0.101,0.108,0.102,3.828,7.788,7.515
psaI_cd,0.001,0.00283,0.00215,0.77,2.234,2.367
psaB_cd,0.085,0.0799,0.0726,8.589,20.407,19.262
psbD_cd,1e-06,3.88e-86,1.24e-40,4.009,9.537,8.775
ndhK_cd,0.293,0.284,0.287,3.173,7.466,6.938
atpI_cd,0.083,0.0731,0.0786,2.055,8.721,9.203
ccsA_cd,0.12,0.11,0.126,4.365,10.208,9.102
psbN_cd,0.003,0.00174,0.0019,0.609,1.633,1.533
petA_cd,0.033,0.0328,0.0271,4.192,9.695,9.084
psbF_cd,3e-06,6.77e-06,1.65e-09,0.849,0.891,0.732
rpl33_cd,0.009,0.0069,0.00832,0.832,2.159,2.573
rpl32_cd,0.004,0.00353,0.00301,1.695,3.768,3.128
atpB_cd,0.047,0.0561,0.0423,7.273,16.625,15.351
rpoB_cd,0.063,0.0589,0.0594,12.847,40.844,38.71
rps14_cd,0.041,0.0482,0.0467,0.929,3.38,3.943
ndhD_cd,0,0.0527,0.0575,0.006,15.909,15.556
accD_cd,0.004,0.0042,0.00301,14.41,28.764,26.335
petL_cd,0.001,0.00147,0.00145,0.556,2.559,2.262
ndhH_cd,0,0.123,0.122,0.007,11.82,9.949
atpF_cd,0.048,0.043,0.0439,1.671,4.413,5.174
rps15_cd,0.088,0.0989,0.0888,1.129,3.508,3.703
ycf2_cd,0,0.0756,0.0703,0.007,323.219,288.142
