gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.01,0.0115,0.00677,1.832,3.707,3.668
ndhB_cd,0,0.0893,0.0854,0.008,16.332,14.991
ndhA_cd,0.059,0.0442,0.0478,6.321,13.233,14.19
psbK_cd,0.19,0.188,0.189,1.208,3.118,2.072
rps16_cd,0.046,0.0498,0.047,1.146,3.761,3.901
ndhG_cd,0.045,0.0372,0.0375,2.056,5.78,5.58
rps18_cd,0.074,0.0626,0.0682,3.847,11.537,8.974
ndhI_cd,0.021,0.0196,0.0218,2.885,6.171,5.237
atpH_cd,0.022,0.0215,0.026,1.065,4.193,5.577
psbZ_cd,0.002,0.00195,0.00181,1.026,1.908,1.783
ndhJ_cd,0.001,0.00106,0.0008,1.784,6.607,4.564
rpoC1_cd,0.115,0.117,0.111,7.75,26.56,30.293
psbH_cd,0.09,0.097,0.0919,1.007,2.519,3.022
petN_cd,0.0001,0.000516,0.000493,0.368,0.544,0.757
rps4_cd,0.018,0.0156,0.0218,4.319,12.103,6.433
rpl36_cd,8e-05,4.85e-05,0.000286,0.531,0.91,0.922
rbcL_cd,0.005,0.00385,0.00447,8.14,15.35,13.008
psbE_cd,0.001,0.00195,0.000611,1.311,5.857,5.382
psbC_cd,0.013,0.0193,0.0179,7.941,14.1,12.45
psbJ_cd,9e-09,3.15e-05,5.66e-06,0.655,2.924,3.153
rpl2_cd,0.194,0.189,0.189,3.617,8.833,12.595
matK_cd,0.014,0.0124,0.013,7.341,18.994,17.761
clpP_cd,0.001,0.00296,0.00524,4.767,8.317,10.455
rpl22_cd,0.002,0.00454,0.00138,3.669,6.499,5.048
rps19_cd,0.042,0.0319,0.0287,1.419,6.629,7.259
rps7_cd,0.021,0.0217,0.0241,2.201,7.749,12.281
psaC_cd,0.0003,0.000927,0.0014,1.447,4.996,2.376
psbL_cd,0.0003,0.001,0.000466,0.475,1.143,1.246
ndhF_cd,0.034,0.0295,0.0279,12.446,26.272,29.4
psaA_cd,0.227,0.231,0.23,9.037,19.243,25.146
rps11_cd,0.024,0.0257,0.0255,2.264,6.479,4.529
rpoA_cd,0.011,0.00962,0.0113,6.323,15.553,10.797
ndhC_cd,0.041,0.0392,0.0359,1.106,4.167,3.852
psbI_cd,0.001,7.77e-05,0.000247,0.696,1.96,1.952
rps2_cd,0,0.0517,0.0625,0.008,9.733,9.493
ycf1_cd,0.216,0.22,0.224,52.61,131.985,142.607
psbM_cd,0.0003,7.21e-05,0.000614,0.721,1.975,1.71
petD_cd,0.022,0.0178,0.0246,2.397,5.729,6.034
rpl16_cd,0.04,0.037,0.0336,1.868,4.897,4.335
atpA_cd,0.086,0.0993,0.0929,6.049,18.802,16.736
rps3_cd,0.23,0.237,0.235,5.368,8.093,7.058
rpl20_cd,0.023,0.0156,0.0162,1.698,5.115,5.209
rpl23_cd,0.007,0.00664,0.00774,1.894,5.748,6.075
rpoC2_cd,0,0.271,0.261,0.006,59.842,45.804
ycf4_cd,0.026,0.0287,0.0252,2.177,7.67,6.896
ycf3_cd,0,0.16,0.161,0.006,5.794,6.735
rpl14_cd,0.029,0.0247,0.0211,1.503,4.502,4.286
petG_cd,2e-13,6.94e-05,2.01e-05,0.606,1.681,1.931
cemA_cd,0.167,0.175,0.157,2.466,8.987,10.942
psbB_cd,0.211,0.192,0.219,6.389,14.752,13.387
rps8_cd,0.007,0.00918,0.011,1.715,3.456,5.542
psaJ_cd,0.001,0.00293,0.00303,0.818,3.092,2.961
rps12_cd,0.011,0.0106,0.0128,1.612,3.545,3.311
atpE_cd,0.064,0.0562,0.0535,1.695,4.675,4.736
psbT_cd,0.0003,0.000407,0.000219,0.542,2.479,2.532
psbA_cd,0.047,0.0507,0.0491,3.869,10.243,8.112
petB_cd,0.1,0.102,0.101,2.178,7.658,6.643
psaI_cd,0.002,0.000925,0.00069,0.773,2.276,2.196
psaB_cd,0.079,0.0743,0.0635,8.247,19.201,17.235
psbD_cd,3e-06,7.74e-61,7.68e-06,3.691,9.483,9.101
ndhK_cd,0.286,0.29,0.293,2.829,6.961,7.088
atpI_cd,0.079,0.0743,0.0808,3.315,7.567,7.106
ccsA_cd,0.113,0.108,0.113,4.344,10.911,9.176
psbN_cd,0.003,0.00238,0.00372,0.803,1.893,1.883
petA_cd,0.029,0.033,0.0343,5.073,8.233,9.682
psbF_cd,2e-12,3.12e-06,2.75e-09,0.843,1.001,0.689
rpl33_cd,0.007,0.00698,0.00826,1.093,3.029,2.897
rpl32_cd,0.004,0.00588,0.00216,1.152,2.808,3.339
atpB_cd,0.045,0.0485,0.0479,5.801,16.701,17.543
rpoB_cd,0.057,0.0569,0.0668,13.623,38.717,38.072
rps14_cd,0.042,0.0456,0.0388,1.683,3.732,3.869
ndhD_cd,0,0.0507,0.059,0.007,14.217,14.324
accD_cd,0.006,0.00454,0.00431,15.13,31.872,27.459
petL_cd,0.002,0.000649,0.00174,0.708,2.799,2.877
ndhH_cd,0,0.13,0.115,0.01,11.24,12.176
atpF_cd,0.05,0.0432,0.0448,1.621,4.352,5.061
rps15_cd,0.071,0.0836,0.0919,1.001,2.076,2.433
ycf2_cd,0,0.0715,0.0677,0.005,328.309,266.774
