gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC2_ge,0.295,0.307,0.32,20.821,68.866,56.644
ndhD_ge,0.061,0.0667,0.0632,5.694,17.368,12.202
psbD_ge,2e-37,4.45e-08,2.39e-05,2.812,7.758,8.362
atpA_ge,0.089,0.0836,0.0856,3.97,13.415,17.02
atpH_ge,0.009,0.00759,0.00656,1.07,3.459,3.947
rps15_ge,0.056,0.055,0.0493,1.376,4.11,3.402
rpl22_ge,0.016,0.0129,0.0159,3.028,7.109,6.699
ycf1_ge,0.124,0.121,0.132,52.027,213.282,147.9
rps8_ge,0.007,0.00689,0.00886,1.718,4.804,5.198
rpl36_ge,9e-05,3.6e-09,7.13e-05,0.747,1.747,1.917
ccsA_ge,0.113,0.0988,0.0903,6.138,10.058,12.432
psaC_ge,0.002,0.00158,0.00183,1.498,3.172,2.898
rpoB_ge,0.066,0.0709,0.0696,11.817,40.396,42.298
ndhA_ge,0.097,0.0814,0.0937,16.851,37.915,27.435
rps11_ge,0.054,0.0473,0.0428,1.496,6.362,5.817
psbF_ge,1e-08,1.08e-09,2.21e-05,0.748,1.208,1.366
psbH_ge,0.082,0.0829,0.0773,0.883,2.598,2.956
rpl14_ge,0.016,0.0135,0.0133,2.043,4.846,5.022
rpl33_ge,0.001,0.00118,0.00154,1.206,3.002,2.609
ndhG_ge,0.04,0.0441,0.0438,1.521,4.345,4.362
psaJ_ge,0.029,0.0386,0.0361,0.519,0.92,1.309
cemA_ge,0,0.146,0.139,0.006,9.823,11.577
petB_ge,0.083,0.0826,0.0823,7.775,21.265,17.196
accD_ge,0.146,0.121,0.14,15.503,25.086,29.178
rps12_ge,0.034,0.0377,0.0406,2.927,7.137,6.611
rpl32_ge,0.008,0.0128,0.00888,1.172,4.08,5.26
atpF_ge,0.003,0.00442,0.00447,8.198,24.726,26.185
clpP_ge,0.029,0.0294,0.0332,19.784,42.893,40.515
atpB_ge,0.037,0.0449,0.0401,3.736,15.11,19.446
rpoA_ge,0.033,0.0331,0.0353,6.529,15.682,15.202
petG_ge,6e-09,9.69e-10,2.66e-05,0.694,2.098,2.418
rpoC1_ge,0.038,0.0337,0.0318,13.948,37.909,40.943
petL_ge,0.002,0.0019,0.0023,0.654,2.597,2.421
psbC_ge,0.019,0.0197,0.0139,5.034,10.346,10.063
psbE_ge,0.011,0.00876,0.0104,0.974,2.58,2.131
psbT_ge,0.0003,0.000478,0.000508,0.701,2.78,2.804
psbL_ge,0.0001,0.000169,0.000268,0.469,1.552,2.53
ndhC_ge,0.017,0.0195,0.0202,1.433,3.861,3.801
rbcL_ge,0.188,0.19,0.192,4.338,9.731,10.58
psbN_ge,0.005,0.00623,0.00569,0.858,1.827,1.544
ndhJ_ge,0.002,0.00245,0.00127,1.72,4.919,5.384
psbI_ge,0.0001,0.000354,0.000508,0.566,2.041,2.108
rps14_ge,0.032,0.0306,0.0313,1.202,3.295,3.556
ndhI_ge,0.03,0.0264,0.025,2.297,5.307,3.98
psbZ_ge,0.01,0.00701,0.00863,0.647,1.543,1.59
petD_ge,0.333,0.335,0.318,9.564,21.003,21.582
psaI_ge,0.0003,0.000102,8.42e-05,0.762,2.198,2.545
psbM_ge,0.0003,2.81e-05,0.000183,0.781,2.476,2.434
petN_ge,4e-05,1.01e-05,9.38e-07,0.489,1.091,1.02
ycf3_ge,0.028,0.0265,0.0253,12.087,33.503,36.522
psaA_ge,0.149,0.155,0.153,8.259,20.371,20.824
rps16_ge,0.085,0.0851,0.0745,9.731,33.468,30.921
ndhH_ge,0.079,0.0705,0.0708,4.263,9.995,10.893
atpE_ge,0.106,0.108,0.113,2.147,3.891,4.41
rps3_ge,0.272,0.278,0.274,3.506,8.218,7.319
petA_ge,0.024,0.0225,0.03,3.187,9.067,9.644
rpl23_ge,0.018,0.0171,0.0151,1.455,6.128,7.143
atpI_ge,0.052,0.0585,0.0582,3.73,7.694,10.498
ndhE_ge,0.016,0.0204,0.0168,1.288,3.238,2.58
rpl20_ge,0.044,0.0433,0.0443,1.708,5.16,5.271
psbB_ge,0.246,0.242,0.236,5.228,12.509,14.774
rps18_ge,0.029,0.0237,0.0215,3.233,10.219,7.248
rps4_ge,0.029,0.0228,0.03,2.339,8.061,8.965
matK_ge,0.019,0.0242,0.0226,6.555,18.902,14.764
ndhB_ge,0.018,0.0238,0.0192,7.274,25.537,20.944
psbJ_ge,3e-09,8.51e-06,4.88e-05,0.468,1.218,1.304
rpl2_ge,0.079,0.0723,0.0798,6.382,20.778,22.702
psbK_ge,0.212,0.203,0.21,0.758,2.114,2.13
rpl16_ge,0.1,0.102,0.0983,12.115,25.118,26.281
rps19_ge,0.012,0.0159,0.0173,2.587,7.417,6.405
psaB_ge,0.175,0.176,0.16,5.454,15.5,15.32
ndhK_ge,0.279,0.273,0.267,3.134,8.694,8.861
ycf2_ge,0.016,0.0115,0.0123,41.06,344.922,349.664
psbA_ge,0.035,0.0368,0.0272,3.288,9.543,7.97
rps2_ge,0.028,0.0286,0.0219,2.239,7.343,10.723
rps7_ge,0.013,0.0131,0.0128,3.174,6.775,6.663
ndhF_ge,0.095,0.095,0.0895,9.875,24.85,22.754
ycf4_ge,0.034,0.0367,0.0275,2.367,6.54,6.549
