gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.009,0.00844,0.00929,1.962,4.271,3.97
ndhB_cd,0,0.0848,0.0846,0.013,17.384,16.42
ndhA_cd,0.056,0.0425,0.0497,4.733,13.875,14.256
psbK_cd,0.198,0.186,0.199,0.919,3.085,3.101
rps16_cd,0.053,0.0478,0.054,2.221,4.873,5.357
ndhG_cd,0.033,0.0386,0.0403,2.418,7.128,6.842
rps18_cd,0.067,0.063,0.074,5.748,14.215,12.369
ndhI_cd,0.018,0.0199,0.0231,2.247,6.437,6.038
atpH_cd,0.02,0.0181,0.019,1.126,3.81,4.415
psbZ_cd,0.001,0.0014,0.00163,1.206,2.25,1.963
ndhJ_cd,0.001,0.000998,0.0022,1.995,6.151,6.176
rpoC1_cd,0.127,0.122,0.106,11.17,23.694,24.746
psbH_cd,0.093,0.0894,0.0942,0.879,3.262,2.965
petN_cd,0.0004,0.000463,0.000328,0.527,1.052,0.93
rps4_cd,0.018,0.0211,0.0173,2.713,8.139,7.035
rpl36_cd,9e-05,5.4e-05,7.58e-05,0.552,1.146,0.973
rbcL_cd,0.005,0.00405,0.00432,5.732,10.278,10.178
psbE_cd,0.0004,0.0022,0.00164,1.414,3.359,2.971
psbC_cd,0.013,0.0143,0.00981,5.09,11.6,11.992
psbJ_cd,3e-06,3.42e-06,4.92e-10,0.731,2.471,2.312
rpl2_cd,0.175,0.187,0.176,3.468,8.571,9.014
matK_cd,0.013,0.0115,0.0132,6.256,20.194,17.894
clpP_cd,0.004,0.00253,0.00366,4.779,8.707,7.262
rpl22_cd,0.002,0.00179,0.00281,2.77,5.944,5.975
rps19_cd,0.035,0.0282,0.0228,1.694,6.145,7.44
rps7_cd,0.022,0.0224,0.0234,2.216,6.812,7.586
psaC_cd,0.001,0.00121,0.000498,1.133,2.82,2.704
psbL_cd,0.0003,0.000356,0.000428,0.466,0.661,0.775
ndhF_cd,0.033,0.0311,0.0374,9.242,22.378,21.63
psaA_cd,0.231,0.233,0.238,6.626,21.334,21.139
rps11_cd,0.025,0.021,0.0205,1.988,5.635,5.743
rpoA_cd,0.014,0.0103,0.011,4.141,15.064,13.839
ndhC_cd,0.035,0.0349,0.0441,1.546,3.257,4.106
psbI_cd,0.0005,0.000433,0.000132,0.634,1.787,1.831
rps2_cd,0,0.0532,0.0526,0.007,9.854,8.551
ycf1_cd,0.215,0.217,0.229,52.238,134.659,125.562
psbM_cd,0.001,0.000234,0.00021,0.687,1.808,1.785
petD_cd,0.022,0.0171,0.0216,3.002,5.853,6.035
rpl16_cd,0.033,0.0336,0.035,2.53,4.892,4.215
atpA_cd,0.097,0.0891,0.0945,5.601,18.77,13.976
rps3_cd,0.232,0.243,0.226,3.913,6.893,8.345
rpl20_cd,0.019,0.0232,0.0195,3.08,6.409,6.052
rpl23_cd,0.007,0.0063,0.0104,1.6,6.783,7.264
rpoC2_cd,0,0.266,0.269,0.009,69.789,42.889
ycf4_cd,0.027,0.0275,0.0205,2.618,6.058,5.807
ycf3_cd,0,0.165,0.156,0.009,6.539,6.394
rpl14_cd,0.025,0.0259,0.0246,1.98,4.431,4.095
petG_cd,7e-09,1.42e-05,4.09e-64,0.57,1.637,1.412
cemA_cd,0.166,0.167,0.155,2.053,8.48,8.066
psbB_cd,0.203,0.203,0.209,4.726,13.813,14.679
rps8_cd,0.012,0.00909,0.00997,2.434,5.314,5.156
psaJ_cd,0.0003,0.00405,0.00373,0.855,5.068,5.061
rps12_cd,0.011,0.013,0.0134,2.058,6.51,5.891
atpE_cd,0.063,0.0584,0.0638,2.176,6.573,5.98
psbT_cd,0.0002,0.000264,0.000192,0.832,4.328,3.853
psbA_cd,0.038,0.0466,0.0489,5.058,11.245,10.654
petB_cd,0.097,0.1,0.0961,3.803,8.829,8.99
psaI_cd,0.001,0.00156,0.00285,0.855,3.353,3.868
psaB_cd,0.069,0.0826,0.0717,8.253,21.807,19.027
psbD_cd,4e-59,9.86e-40,1.01e-36,4.064,10.138,10.384
ndhK_cd,0.289,0.284,0.277,3.05,6.593,7.083
atpI_cd,0.081,0.0778,0.0795,3.007,9.903,10.614
ccsA_cd,0.114,0.125,0.125,5.016,18.954,10.979
psbN_cd,0.006,0.00331,0.00323,0.58,1.95,1.278
petA_cd,0.029,0.0305,0.028,4.47,9.677,8.613
psbF_cd,1e-08,7.73e-05,5.83e-06,1.0,1.72,1.387
rpl33_cd,0.008,0.00891,0.00641,1.106,3.521,3.294
rpl32_cd,0.003,0.00363,0.00553,2.007,4.339,3.015
atpB_cd,0.049,0.05,0.0511,5.742,19.882,18.548
rpoB_cd,0.061,0.0553,0.0651,19.861,47.514,45.391
rps14_cd,0.038,0.0429,0.0407,1.132,2.619,4.211
ndhD_cd,0,0.0525,0.0541,0.008,25.534,14.099
accD_cd,0.004,0.00505,0.00277,16.37,27.381,29.364
petL_cd,0.001,0.000947,0.00113,0.407,1.763,1.976
ndhH_cd,0,0.115,0.127,0.005,8.725,12.793
atpF_cd,0.046,0.0422,0.0484,3.183,7.296,7.864
rps15_cd,0.094,0.0897,0.089,1.449,3.704,3.058
ycf2_cd,0,0.0629,0.0796,0.008,330.166,331.025
