gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC2_ge,0.311,0.317,0.306,10.317,63.408,55.036
ndhD_ge,0.063,0.0613,0.0601,5.82,14.364,15.626
psbD_ge,6e-43,7.9e-05,2.15e-06,5.257,8.967,10.016
atpA_ge,0.09,0.0887,0.0897,7.065,14.92,18.229
atpH_ge,0.009,0.00668,0.00817,1.308,2.795,3.259
rps15_ge,0.058,0.0585,0.0617,1.166,2.707,2.902
rpl22_ge,0.013,0.0142,0.0149,2.273,6.048,5.502
ycf1_ge,0.134,0.137,0.136,33.264,170.256,176.888
rps8_ge,0.01,0.00852,0.00757,1.866,5.719,5.817
rpl36_ge,3e-05,5.57e-07,1.78e-07,0.476,1.066,1.781
ccsA_ge,0.106,0.102,0.0944,4.529,10.471,9.808
psaC_ge,0.003,0.0023,0.00277,0.793,2.844,2.947
rpoB_ge,0.068,0.0621,0.0686,12.529,38.479,55.493
ndhA_ge,0.092,0.102,0.0961,23.215,46.398,45.484
rps11_ge,0.053,0.0496,0.049,2.213,6.693,4.864
psbF_ge,4e-58,2.12e-11,2.29e-07,0.761,1.451,0.993
psbH_ge,0.078,0.0826,0.0799,1.228,3.653,3.108
rpl14_ge,0.016,0.014,0.0132,1.558,4.408,7.427
rpl33_ge,0.001,0.00117,0.00133,1.43,4.752,3.907
ndhG_ge,0.042,0.044,0.0441,2.042,7.787,7.188
psaJ_ge,0.031,0.0346,0.0362,0.772,1.194,1.339
cemA_ge,0,0.136,0.146,0.007,8.419,12.702
petB_ge,0.086,0.0789,0.0791,9.379,18.774,30.052
accD_ge,0.141,0.141,0.134,16.55,33.543,34.429
rps12_ge,0.043,0.0413,0.0412,5.381,10.219,7.645
rpl32_ge,0.007,0.00657,0.00586,2.293,4.739,4.974
atpF_ge,0.004,0.00344,0.00359,8.8,23.58,31.013
clpP_ge,0.031,0.0285,0.0332,17.742,53.788,54.807
atpB_ge,0.042,0.0389,0.0398,6.575,20.934,24.691
rpoA_ge,0.042,0.0291,0.0291,6.219,22.209,21.196
petG_ge,2e-05,7.25e-18,3.59e-08,0.652,2.364,2.419
rpoC1_ge,0.03,0.0388,0.0314,15.04,49.959,60.721
petL_ge,0.002,0.00355,0.00235,0.66,3.678,4.924
psbC_ge,0.018,0.0135,0.0185,6.048,14.28,10.044
psbE_ge,0.006,0.00889,0.011,1.432,4.354,3.434
psbT_ge,0.0002,0.00015,0.000484,0.721,2.593,2.713
psbL_ge,0.0001,8.34e-05,0.000753,0.723,2.242,2.404
ndhC_ge,0.022,0.0196,0.017,1.903,3.493,4.235
rbcL_ge,0.194,0.201,0.194,5.073,10.721,8.232
psbN_ge,0.005,0.00694,0.00546,0.507,1.516,2.046
ndhJ_ge,0.002,0.0021,0.0019,1.909,6.748,8.088
psbI_ge,5e-05,0.000268,5.37e-05,0.599,2.524,2.389
rps14_ge,0.032,0.0311,0.0339,1.265,4.52,3.943
ndhI_ge,0.03,0.0282,0.0286,2.79,7.422,5.923
psbZ_ge,0.009,0.00703,0.00626,1.127,3.134,3.025
petD_ge,0.336,0.34,0.331,8.455,18.504,28.733
psaI_ge,0.0001,0.000365,4.88e-05,0.816,2.652,2.081
psbM_ge,0.0002,0.000197,0.000304,0.755,3.736,3.181
petN_ge,3e-05,8.16e-06,1.3e-05,0.563,1.408,1.663
ycf3_ge,0.024,0.0255,0.026,15.557,38.071,49.097
psaA_ge,0.156,0.147,0.157,11.811,25.341,17.259
rps16_ge,0.074,0.077,0.0705,14.541,33.299,38.831
ndhH_ge,0.09,0.0717,0.0726,4.689,12.915,12.749
atpE_ge,0.114,0.124,0.117,1.47,4.292,4.769
rps3_ge,0.278,0.27,0.27,4.401,9.464,7.405
petA_ge,0.024,0.0256,0.0267,4.64,8.598,10.416
rpl23_ge,0.016,0.0161,0.0169,1.904,4.493,6.642
atpI_ge,0.064,0.0635,0.0574,2.755,8.578,8.689
ndhE_ge,0.017,0.0194,0.0168,1.572,3.039,2.218
rpl20_ge,0.042,0.0499,0.0464,1.724,5.31,5.262
psbB_ge,0.238,0.246,0.242,5.056,12.408,12.389
rps18_ge,0.033,0.0255,0.0201,3.435,10.822,9.549
rps4_ge,0.029,0.0268,0.0294,1.951,7.385,8.137
matK_ge,0.018,0.0206,0.0214,5.78,17.519,15.285
ndhB_ge,0.014,0.0177,0.022,10.132,22.557,22.363
psbJ_ge,7e-05,2.34e-05,3.34e-07,0.618,1.816,1.603
rpl2_ge,0.075,0.0619,0.0792,6.265,19.701,17.799
psbK_ge,0.213,0.224,0.212,0.925,3.122,2.494
rpl16_ge,0.098,0.114,0.101,11.737,23.976,26.819
rps19_ge,0.017,0.0153,0.0172,2.203,6.928,7.626
psaB_ge,0.173,0.171,0.168,7.998,18.922,15.983
ndhK_ge,0.281,0.269,0.255,2.986,8.033,8.459
ycf2_ge,0.012,0.0126,0.0147,32.649,335.666,365.878
psbA_ge,0.03,0.0267,0.0373,5.072,8.922,9.479
rps2_ge,0.023,0.0242,0.022,2.192,8.208,10.688
rps7_ge,0.012,0.0106,0.00954,2.257,6.402,6.558
ndhF_ge,0.088,0.0929,0.087,10.033,21.746,15.709
ycf4_ge,0.035,0.0311,0.0325,1.518,5.283,6.164
