gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.009,0.00924,0.0111,1.762,4.974,5.453
ndhB_cd,0,0.0829,0.0915,0.011,21.439,20.426
ndhA_cd,0.048,0.0571,0.0473,6.346,17.122,18.558
psbK_cd,0.196,0.189,0.2,1.219,4.242,4.09
rps16_cd,0.043,0.0467,0.049,2.271,5.729,5.247
ndhG_cd,0.035,0.0385,0.0383,2.936,7.87,7.491
rps18_cd,0.067,0.0716,0.0747,4.9,11.499,11.934
ndhI_cd,0.019,0.0201,0.0189,2.472,8.63,8.546
atpH_cd,0.023,0.0223,0.0204,1.194,4.387,4.487
psbZ_cd,0.002,0.00191,0.00127,0.917,1.824,2.019
ndhJ_cd,0.001,0.000945,0.00145,1.605,4.323,6.9
rpoC1_cd,0.106,0.111,0.119,11.138,27.87,28.067
psbH_cd,0.1,0.103,0.0815,1.07,3.126,3.304
petN_cd,0.001,0.000781,0.000587,0.501,1.321,0.991
rps4_cd,0.021,0.0234,0.0171,3.554,7.375,8.048
rpl36_cd,0.0002,0.000185,0.00049,0.512,1.115,1.204
rbcL_cd,0.003,0.00302,0.00554,5.573,11.425,11.066
psbE_cd,0.002,0.00211,0.000904,0.909,2.728,3.663
psbC_cd,0.013,0.0142,0.0132,5.702,13.643,14.595
psbJ_cd,2e-05,5.47e-07,1.65e-06,0.685,2.87,3.242
rpl2_cd,0.189,0.189,0.188,3.63,10.11,10.202
matK_cd,0.013,0.0141,0.0111,7.794,18.058,20.734
clpP_cd,0.002,0.00296,0.00191,3.613,8.754,7.779
rpl22_cd,0.003,0.00279,0.00391,4.188,6.741,6.295
rps19_cd,0.031,0.0293,0.0286,2.507,7.642,7.043
rps7_cd,0.021,0.0233,0.0214,3.417,8.001,7.883
psaC_cd,0.001,0.000567,0.000612,0.832,2.311,2.718
psbL_cd,0.001,0.000396,0.00052,0.656,1.633,1.443
ndhF_cd,0.033,0.0343,0.0273,10.999,26.448,25.934
psaA_cd,0.242,0.234,0.246,8.7,17.355,19.887
rps11_cd,0.021,0.0214,0.0266,2.195,5.032,3.958
rpoA_cd,0.013,0.0121,0.0145,3.132,15.173,13.008
ndhC_cd,0.042,0.0336,0.043,1.98,3.79,3.516
psbI_cd,0.0005,4.75e-05,0.000151,0.574,1.752,1.981
rps2_cd,0,0.0548,0.0514,0.007,8.296,8.017
ycf1_cd,0.212,0.209,0.206,46.973,123.241,136.6
psbM_cd,0.0003,0.000241,0.000899,0.542,1.685,1.718
petD_cd,0.02,0.0242,0.0258,2.053,4.333,5.098
rpl16_cd,0.037,0.0322,0.0287,2.002,4.608,4.366
atpA_cd,0.093,0.0788,0.0864,5.515,18.048,16.309
rps3_cd,0.223,0.234,0.242,3.618,8.498,7.935
rpl20_cd,0.019,0.0224,0.0166,2.433,6.111,5.856
rpl23_cd,0.006,0.00857,0.00821,1.627,6.865,6.81
rpoC2_cd,0,0.28,0.259,0.009,55.432,45.027
ycf4_cd,0.027,0.0297,0.0221,2.841,6.353,6.303
ycf3_cd,0,0.151,0.169,0.005,5.462,6.073
rpl14_cd,0.025,0.0227,0.028,2.02,4.244,3.901
petG_cd,2e-58,0.00012,1.42e-05,0.744,1.569,1.695
cemA_cd,0.166,0.165,0.178,4.054,8.119,9.328
psbB_cd,0.196,0.201,0.203,7.753,13.332,11.578
rps8_cd,0.014,0.012,0.0077,2.29,4.399,5.389
psaJ_cd,0.0005,0.00344,0.00468,0.719,3.067,2.968
rps12_cd,0.013,0.00885,0.0112,1.435,3.361,3.291
atpE_cd,0.059,0.0545,0.0608,1.712,4.986,4.465
psbT_cd,1e-05,0.000171,0.000399,0.565,2.205,2.37
psbA_cd,0.048,0.0465,0.0403,3.119,10.501,8.537
petB_cd,0.111,0.0988,0.102,2.437,6.167,5.848
psaI_cd,0.0004,0.0019,0.00138,0.656,1.621,1.422
psaB_cd,0.071,0.0732,0.0819,9.245,17.79,17.678
psbD_cd,4e-80,4.92e-31,5.6e-57,4.189,9.906,8.951
ndhK_cd,0.291,0.288,0.288,3.033,8.343,6.365
atpI_cd,0.078,0.0718,0.0782,2.263,7.842,7.887
ccsA_cd,0.119,0.122,0.127,4.729,9.554,8.681
psbN_cd,0.003,0.00444,0.00448,0.613,1.409,1.217
petA_cd,0.026,0.0299,0.0308,2.513,9.008,9.485
psbF_cd,3e-14,7.14e-05,1.05e-05,0.574,0.856,0.61
rpl33_cd,0.007,0.00896,0.00701,1.062,3.006,2.912
rpl32_cd,0.003,0.00387,0.00203,1.489,3.315,3.116
atpB_cd,0.044,0.0515,0.0453,4.565,15.937,16.869
rpoB_cd,0.064,0.0565,0.0642,12.365,38.517,35.895
rps14_cd,0.04,0.0446,0.0387,1.148,3.154,3.047
ndhD_cd,0,0.0538,0.0502,0.005,15.307,14.837
accD_cd,0.004,0.00501,0.00296,13.509,29.496,30.027
petL_cd,0.0004,0.0015,0.00058,0.707,2.536,3.209
ndhH_cd,0,0.141,0.127,0.009,11.211,10.841
atpF_cd,0.051,0.0483,0.045,3.496,7.56,7.869
rps15_cd,0.09,0.0876,0.0928,1.38,3.431,3.609
ycf2_cd,0,0.0761,0.0683,0.009,309.535,275.651
